,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,pose
0,"['0.6310224', '0.51414126']","['0.6370375', '0.49436238']","['0.63453734', '0.4939216']","['0.611261', '0.45313242']","['0.61031246', '0.4538166']","['0.5470085', '0.46483037']","['0.54198575', '0.4664802']","['0.6634686', '0.36856928']","['0.6423904', '0.37658814']","['0.7353557', '0.25188774']","['0.70523584', '0.2761692']","['0.34188604', '0.6627056']","['0.3376776', '0.6571293']","['0.5391125', '0.7873894']","['0.54540646', '0.766041']","['0.7031345', '0.8857601']","['0.6826062', '0.8454172']",d
1,"['0.6522885', '0.55870396']","['0.65654814', '0.58059734']","['0.6561975', '0.582108']","['0.62277293', '0.60241675']","['0.6212337', '0.60195345']","['0.55909824', '0.5818336']","['0.5551846', '0.5878275']","['0.64421165', '0.6668673']","['0.6542966', '0.67504007']","['0.6986405', '0.7614249']","['0.7034172', '0.78017676']","['0.3902008', '0.40488943']","['0.38904467', '0.40320793']","['0.5490644', '0.30089092']","['0.5466284', '0.30025327']","['0.6841926', '0.18164912']","['0.69495106', '0.16992216']",d
2,"['0.59047276', '0.326267']","['0.59142876', '0.30317107']","['0.5895175', '0.30201414']","['0.55377144', '0.28593236']","['0.55229247', '0.2853532']","['0.49139178', '0.32358205']","['0.49428642', '0.3306719']","['0.625244', '0.26319006']","['0.61799866', '0.26511952']","['0.7278618', '0.16784663']","['0.716876', '0.176534']","['0.2913517', '0.53054345']","['0.29216707', '0.53064686']","['0.4838997', '0.68138486']","['0.48296356', '0.68356425']","['0.65850455', '0.8539844']","['0.64485395', '0.8434373']",d
3,"['0.6313288', '0.62426114']","['0.6268563', '0.6468959']","['0.62534916', '0.64402205']","['0.57524174', '0.6427557']","['0.5737111', '0.6423858']","['0.5265382', '0.5962928']","['0.5368488', '0.5908508']","['0.65904504', '0.6719479']","['0.6780738', '0.6663013']","['0.72218305', '0.7793333']","['0.761643', '0.7938335']","['0.3049936', '0.43251905']","['0.30130252', '0.42395762']","['0.51692915', '0.32060602']","['0.5151617', '0.30875394']","['0.70362246', '0.21094176']","['0.7170115', '0.18183775']",d
4,"['0.6015549', '0.49797767']","['0.6098436', '0.51844704']","['0.6105095', '0.52138615']","['0.5801062', '0.5472819']","['0.5804417', '0.5527729']","['0.51435155', '0.5435806']","['0.5152672', '0.55186605']","['0.5968407', '0.61302483']","['0.60887223', '0.62139946']","['0.6726568', '0.6919132']","['0.69120383', '0.70463735']","['0.32089025', '0.35864618']","['0.322071', '0.35392874']","['0.504232', '0.26314458']","['0.49941695', '0.24967009']","['0.65475076', '0.18727998']","['0.6637222', '0.16447902']",d
5,"['0.6474622', '0.42119488']","['0.66417986', '0.40679815']","['0.6650695', '0.3966123']","['0.65126365', '0.40161446']","['0.64862084', '0.37259686']","['0.60867715', '0.50204045']","['0.55864537', '0.34715706']","['0.65195584', '0.68205464']","['0.6571559', '0.2644918']","['0.6982777', '0.8188914']","['0.74993956', '0.14000796']","['0.2925744', '0.6328251']","['0.28917915', '0.5953693']","['0.529736', '0.7744325']","['0.52147937', '0.766739']","['0.75024647', '0.9142199']","['0.69150126', '0.83613366']",d
6,"['0.59016865', '0.5483465']","['0.5967156', '0.57113886']","['0.5971092', '0.5717253']","['0.5654209', '0.5977715']","['0.5641717', '0.596663']","['0.5009', '0.5775143']","['0.50104344', '0.57097906']","['0.60242486', '0.64806384']","['0.6227319', '0.6438505']","['0.6546484', '0.73157626']","['0.6896342', '0.73850954']","['0.3101861', '0.38821083']","['0.3087754', '0.38113165']","['0.48956785', '0.2768516']","['0.4843168', '0.26838866']","['0.6467724', '0.18577358']","['0.6534602', '0.16331717']",d
7,"['0.5924642', '0.62696695']","['0.5950269', '0.6512186']","['0.5970072', '0.6513598']","['0.54691374', '0.67173153']","['0.54724884', '0.67251265']","['0.4880615', '0.6307511']","['0.49846506', '0.6199991']","['0.617751', '0.7263588']","['0.6418791', '0.726358']","['0.68137646', '0.8187206']","['0.7238946', '0.83163065']","['0.2771873', '0.36860508']","['0.2882476', '0.3634587']","['0.49466717', '0.21795599']","['0.50192606', '0.22116455']","['0.67857397', '0.10606001']","['0.6987432', '0.101706035']",d
8,"['0.5897842', '0.44955495']","['0.59432846', '0.43429226']","['0.59003806', '0.42704907']","['0.55895495', '0.4264314']","['0.55414134', '0.4144306']","['0.53125477', '0.48738343']","['0.49151438', '0.416509']","['0.64073414', '0.3984945']","['0.5987956', '0.35191894']","['0.7235933', '0.29478157']","['0.6738156', '0.26328552']","['0.32198614', '0.678113']","['0.3145689', '0.6401671']","['0.48798633', '0.77526045']","['0.49351695', '0.73114896']","['0.6442453', '0.8499133']","['0.6244823', '0.7915413']",d
9,"['0.62706923', '0.3941266']","['0.62763053', '0.37829325']","['0.6270541', '0.3792566']","['0.599', '0.35652223']","['0.601388', '0.358164']","['0.56526446', '0.37634403']","['0.5610584', '0.38318884']","['0.64577276', '0.33075973']","['0.6409404', '0.33801848']","['0.6878913', '0.26659697']","['0.6894853', '0.2702798']","['0.43499243', '0.5481195']","['0.43665877', '0.54210985']","['0.5562872', '0.62399006']","['0.56062245', '0.6211069']","['0.6650377', '0.71626186']","['0.6598072', '0.69670343']",d
10,"['0.58575207', '0.4202412']","['0.5919187', '0.40103367']","['0.58855283', '0.4000892']","['0.55637306', '0.37471023']","['0.5575432', '0.37610292']","['0.4995115', '0.40588742']","['0.49493387', '0.40698352']","['0.6232575', '0.33514637']","['0.60853684', '0.34167254']","['0.6897853', '0.25465724']","['0.6729267', '0.26786542']","['0.34155983', '0.5990619']","['0.33781782', '0.5947827']","['0.5094045', '0.6992758']","['0.5077988', '0.69363546']","['0.6713496', '0.8155613']","['0.65130025', '0.789943']",d
